FishID_nodash,Stream,Sex,GenGrp,hindex,cohort,FirstMonthCaught,LastMonthCaught,Longevity,LRS
FCA1K5Y0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA1O2B0906,Caigual,F,N,0,2,6/15/09,10/10/09,5,NA
FCA1O2K0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA1O2O0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA1O2P0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA1O5Y0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA1P2G0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA1P5G0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA1V2O0906,Caigual,F,N,0,2,6/15/09,11/10/09,6,NA
FCA1Y2K0906,Caigual,F,N,0,2,6/15/09,12/10/09,7,NA
FCA2B3G0901,Caigual,F,N,0,2,6/15/09,1/10/10,8,3
FCA2B4B0906,Caigual,F,N,0.062,2,6/15/09,10/10/09,5,NA
FCA2B4G0906,Caigual,F,N,0,2,6/15/09,10/10/09,5,NA
FCA2B4K0906,Caigual,F,N,0,2,6/15/09,5/13/10,12,NA
FCA2B4O0906,Caigual,F,N,0,2,6/15/09,5/13/10,12,1
FCA2B4P0906,Caigual,F,N,0,2,6/15/09,11/12/10,18,NA
FCA2B4R0906,Caigual,F,N,0,2,6/15/09,1/10/10,8,NA
FCA2B4V0906,Caigual,F,N,0,2,6/15/09,2/10/10,9,NA
FCA2B4Y0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA2B7B0906,Caigual,F,N,0,2,6/15/09,10/10/09,5,NA
FCA2B7G0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA2B7K0906,Caigual,F,N,0,2,6/15/09,3/11/10,10,NA
FCA2B7O0906,Caigual,F,N,0,2,6/15/09,10/10/09,5,NA
FCA2B7P0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,3
FCA2B7R0906,Caigual,F,N,0,2,6/15/09,11/10/09,6,NA
FCA2B7V0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA2B7Y0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,1
FCA2G3R0901,Caigual,F,N,0.062,2,6/15/09,7/14/09,2,NA
FCA2G4Y0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,3
FCA2G5P0901,Caigual,F,N,0,2,6/15/09,11/10/09,6,3
FCA2G7O0906,Caigual,F,N,0,2,6/15/09,12/10/09,7,NA
FCA2K3K0901,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA2K4G0906,Caigual,F,N,0,2,6/15/09,10/10/09,5,NA
FCA2K4V0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA2K5G0901,Caigual,F,N,0,2,6/15/09,9/12/09,4,NA
FCA2K7B0906,Caigual,F,N,0,2,6/15/09,7/14/09,2,NA
FCA2K7G0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA2O4P0906,Caigual,F,N,0,2,6/15/09,11/10/09,6,NA
FCA2O4R0906,Caigual,F,N,0,2,6/15/09,3/11/10,10,2
FCA2O5Y0901,Caigual,F,N,0,2,6/15/09,7/14/09,2,1
FCA2O7K0906,Caigual,F,N,0,2,6/15/09,9/12/10,16,NA
FCA2P7G0906,Caigual,F,N,0,2,6/15/09,6/12/10,13,3
FCA2P7K0906,Caigual,F,N,0,2,6/15/09,10/10/09,5,2
FCA2P7O0906,Caigual,F,N,0,2,6/15/09,7/14/09,2,NA
FCA2P7P0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA2P7R0906,Caigual,F,N,0,2,6/15/09,8/12/10,15,NA
FCA2P7V0906,Caigual,F,N,0,2,6/15/09,11/12/10,18,NA
FCA2P7Y0906,Caigual,F,N,0,2,6/15/09,1/10/10,8,NA
FCA2R7P0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA2R7Y0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA2V4K0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA2V4P0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA2V7B0906,Caigual,F,N,0,2,6/15/09,11/10/09,6,1
FCA2V7G0906,Caigual,F,N,0.103,2,6/15/09,10/10/09,5,NA
FCA2V7K0906,Caigual,F,N,0,2,6/15/09,8/12/10,15,NA
FCA2Y7Y0906,Caigual,F,N,0,2,6/15/09,10/10/09,5,NA
FCA3B5K0902,Caigual,F,N,0,2,6/15/09,10/10/09,5,NA
FCA3B6B0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA3B6G0906,Caigual,F,N,0,2,6/15/09,8/12/10,15,NA
FCA3B6K0906,Caigual,F,N,0,2,6/15/09,6/12/10,13,1
FCA3B6P0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA3B6R0906,Caigual,F,N,0,2,6/15/09,10/10/09,5,NA
FCA3B6R8R0907,Caigual,F,N,0,2,6/15/09,9/12/09,4,4
FCA3B6V0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA3B6Y0906,Caigual,F,N,0,2,6/15/09,11/10/09,6,NA
FCA3B8G0902,Caigual,F,N,0,2,6/15/09,4/11/10,11,NA
FCA3G5G0902,Caigual,F,N,0,2,6/15/09,6/15/09,1,1
FCA3G6B0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA3G6G0906,Caigual,F,N,0,2,6/15/09,10/10/09,5,NA
FCA3K5V0902,Caigual,F,N,0,2,6/15/09,10/10/09,5,NA
FCA3K6B0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA3K6R0906,Caigual,F,N,0,2,6/15/09,5/13/10,12,NA
FCA3O5R0902,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA3O6P0906,Caigual,F,N,0.162,2,6/15/09,12/12/10,19,NA
FCA3O6R0906,Caigual,F,N,0,2,6/15/09,10/10/09,5,NA
FCA3P6G0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA3P6K0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA3P6O0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA3P6P0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA3P6R0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA3P6V0906,Caigual,F,N,0,2,6/15/09,10/10/09,5,NA
FCA3P6Y0906,Caigual,F,N,0,2,6/15/09,7/14/09,2,NA
FCA3R6B0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA3R6O0906,Caigual,F,N,0,2,6/15/09,12/10/09,7,6
FCA3R6P0906,Caigual,F,N,0,2,6/15/09,1/10/10,8,NA
FCA3R6R0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA3R6V0906,Caigual,F,N,0,2,6/15/09,1/10/10,8,NA
FCA3R6Y0906,Caigual,F,N,0,2,6/15/09,10/10/09,5,NA
FCA3V6B0906,Caigual,F,N,0,2,6/15/09,9/12/09,4,NA
FCA3V6G0906,Caigual,F,N,0,2,6/15/09,7/14/09,2,NA
FCA3V6K0906,Caigual,F,N,0.058,2,6/15/09,2/10/10,9,NA
FCA3V6R0906,Caigual,F,N,0.097,2,6/15/09,5/13/10,12,NA
FCA3Y6P0906,Caigual,F,N,0,2,6/15/09,3/11/10,10,NA
FCA4B5B0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA4B5G0906,Caigual,F,N,0,2,6/15/09,7/14/09,2,NA
FCA4B5K0906,Caigual,F,N,0,2,6/15/09,10/10/09,5,NA
FCA4B5O0906,Caigual,F,N,0,2,6/15/09,9/12/09,4,NA
FCA4B5P0906,Caigual,F,N,0,2,6/15/09,7/14/09,2,NA
FCA4B5R0906,Caigual,F,N,0,2,6/15/09,7/14/09,2,NA
FCA4B5V0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA4B5Y0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA4G5B0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA4G5G0906,Caigual,F,N,0,2,6/15/09,2/10/10,9,NA
FCA4G5R0906,Caigual,F,N,0,2,6/15/09,11/12/10,18,1
FCA4K5G0906,Caigual,F,N,0,2,6/15/09,7/14/09,2,NA
FCA4O5B0906,Caigual,F,N,0,2,6/15/09,11/10/09,6,NA
FCA4O5V0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA4P5B0906,Caigual,F,N,0.053,2,6/15/09,2/10/10,9,1
FCA4P5K0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA4P5O0906,Caigual,F,N,0,2,6/15/09,7/14/09,2,NA
FCA4P5P0906,Caigual,F,N,0,2,6/15/09,11/10/09,6,NA
FCA4P5R0906,Caigual,F,N,0,2,6/15/09,6/12/10,13,1
FCA4P5V0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA4P5Y0906,Caigual,F,N,0,2,6/15/09,5/13/10,12,2
FCA4R5B0906,Caigual,F,N,0,2,6/15/09,7/12/10,14,3
FCA4R5G0906,Caigual,F,N,0,2,6/15/09,6/12/10,13,NA
FCA4R5K0906,Caigual,F,N,0,2,6/15/09,10/10/09,5,NA
FCA4R5O0906,Caigual,F,N,0.063,2,6/15/09,5/13/10,12,7
FCA4R5P0906,Caigual,F,N,0,2,6/15/09,10/10/09,5,NA
FCA4R5R0906,Caigual,F,N,0,2,6/15/09,9/12/09,4,4
FCA4R5V0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA4R5Y0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA4V5B0906,Caigual,F,N,0,2,6/15/09,6/12/10,13,NA
FCA4V5K0906,Caigual,F,N,0,2,6/15/09,7/14/09,2,NA
FCA4V5V0906,Caigual,F,N,0,2,6/15/09,10/10/09,5,NA
FCA4Y5G0907,Caigual,F,N,0,2,6/15/09,9/12/10,16,NA
FCA4Y5P0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA5B6B0906,Caigual,F,N,0,2,6/15/09,3/11/10,10,NA
FCA5B6K0906,Caigual,F,N,0,2,6/15/09,5/13/10,12,NA
FCA5B6O0906,Caigual,F,N,0,2,6/15/09,6/12/10,13,1
FCA5B6V0906,Caigual,F,N,0,2,6/15/09,7/14/09,2,NA
FCA5B6Y0906,Caigual,F,N,0,2,6/15/09,10/10/09,5,1
FCA5G6G0906,Caigual,F,N,0,2,6/15/09,12/12/10,19,NA
FCA5K6G0906,Caigual,F,N,0,2,6/15/09,6/12/10,13,3
FCA5O6O0906,Caigual,F,N,0,2,6/15/09,2/10/10,9,NA
FCA5P6B0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA5P6K0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA5P6O0906,Caigual,F,N,0,2,6/15/09,8/13/10,15,NA
FCA5P6P0906,Caigual,F,N,0,2,6/15/09,5/13/10,12,2
FCA5P6R0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA5P6V0906,Caigual,F,N,0,2,6/15/09,6/12/10,13,NA
FCA5P6Y0906,Caigual,F,N,0,2,6/15/09,11/10/09,6,NA
FCA5R6B0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA5R6G0906,Caigual,F,N,0.06,2,6/15/09,9/12/09,4,3
FCA5R6K0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA5R6O0906,Caigual,F,N,0,2,6/15/09,3/11/10,10,4
FCA5R6P0906,Caigual,F,N,0.047,2,6/15/09,7/14/09,2,NA
FCA5R6R0906,Caigual,F,N,0,2,6/15/09,1/10/10,8,NA
FCA5R6V0906,Caigual,F,N,0,2,6/15/09,11/10/09,6,6
FCA5R6Y0906,Caigual,F,N,0,2,6/15/09,9/12/10,16,7
FCA5V6B0906,Caigual,F,N,0,2,6/15/09,7/14/09,2,NA
FCA5V6G0906,Caigual,F,N,0,2,6/15/09,6/15/09,1,NA
FCA5V6K0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
FCA6P8O0906,Caigual,F,N,0,2,6/15/09,8/13/09,3,NA
MCA1B2V0906,Caigual,M,N,0,2,6/15/09,7/14/09,2,NA
MCA1B2Y0906,Caigual,M,N,0,2,6/15/09,5/13/10,12,NA
MCA1B4R0903,Caigual,M,F1xI,0.569,2,6/15/09,7/14/09,2,11
MCA1G2G0906,Caigual,M,N,0,2,6/15/09,7/14/09,2,NA
MCA1G2K0906,Caigual,M,N,0,2,6/15/09,3/11/10,10,NA
MCA1G2O0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,NA
MCA1G2P0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,NA
MCA1G2R0906,Caigual,M,N,0,2,6/15/09,1/10/10,8,NA
MCA1G2V0906,Caigual,M,N,0,2,6/15/09,7/14/09,2,NA
MCA1G2Y0906,Caigual,M,N,0,2,6/15/09,11/10/09,6,NA
MCA1G5B0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA1G5G0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA1G5K0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA1G5O0906,Caigual,M,N,0,2,6/15/09,10/10/09,5,NA
MCA1G5P0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,NA
MCA1G5R0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,NA
MCA1G5V0906,Caigual,M,N,0,2,6/15/09,11/10/09,6,1
MCA1G5Y0906,Caigual,M,N,0,2,6/15/09,7/14/09,2,NA
MCA1K2B0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,2
MCA1K5B0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,1
MCA1O2R0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,3
MCA1O2V0906,Caigual,M,N,0,2,6/15/09,12/10/09,7,NA
MCA1O5P0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA1O5R0906,Caigual,M,N,0,2,6/15/09,5/13/10,12,NA
MCA1O5V0906,Caigual,M,N,0,2,6/15/09,7/14/09,2,NA
MCA1O5Y0906,Caigual,M,N,0,2,6/15/09,12/10/09,7,NA
MCA1P2B0906,Caigual,M,N,0,2,6/15/09,5/13/10,12,NA
MCA1P2G0906,Caigual,M,N,0.064,2,6/15/09,11/10/09,6,NA
MCA1P5B0906,Caigual,M,N,0,2,6/15/09,10/10/09,5,NA
MCA1V6K0906,Caigual,M,I,1,2,6/15/09,NA,NA,4
MCA2B8B0902,Caigual,M,N,0,2,6/15/09,6/15/09,1,NA
MCA2G4G0906,Caigual,M,N,0,2,6/15/09,3/11/10,10,5
MCA2G4K0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,NA
MCA2G4O0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA2G4P0906,Caigual,M,N,0,2,6/15/09,10/10/09,5,NA
MCA2G4V0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA2G4Y0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,NA
MCA2G7K0906,Caigual,M,N,0,2,6/15/09,7/14/09,2,NA
MCA2G7O0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,1
MCA2G7P0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA2G7R0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,NA
MCA2G7Y0906,Caigual,M,N,0,2,6/15/09,3/11/10,10,NA
MCA2G8B0901,Caigual,M,N,0,2,6/15/09,8/13/09,3,2
MCA2K4B0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA2K7B0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,NA
MCA2O4Y0906,Caigual,M,N,0.022,2,6/15/09,6/15/09,1,NA
MCA2O7V0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,NA
MCA2P4B0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA2P4G0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,NA
MCA2P7B0906,Caigual,M,N,0,2,6/15/09,10/10/09,5,NA
MCA2P7G0906,Caigual,M,N,0,2,6/15/09,9/12/09,4,NA
MCA3G6O0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA3G6R0906,Caigual,M,N,0,2,6/15/09,7/14/09,2,NA
MCA3G6V0906,Caigual,M,N,0.107,2,6/15/09,6/15/09,1,NA
MCA3K6B0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA3K6G0906,Caigual,M,N,0,2,6/15/09,10/10/09,5,NA
MCA3O5P0906,Caigual,M,N,0,2,6/15/09,6/15/09,1,NA
MCA3O5R0906,Caigual,M,N,0,2,6/15/09,9/12/09,4,1
MCA3O5Y0906,Caigual,M,N,0.064,2,6/15/09,9/12/09,4,NA
MCA3O6Y0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA3O8P0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA3O8R0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA3O8V0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA3P5G0906,Caigual,M,N,0.051,2,6/15/09,8/13/09,3,NA
MCA3P5K0906,Caigual,M,N,0,2,6/15/09,8/13/09,3,NA
MCA3P5O0906,Caigual,M,N,0,2,6/15/09,5/13/10,12,NA
MCA3P5P0906,Caigual,M,N,0,2,6/15/09,2/10/10,9,2
MCA3P5R0906,Caigual,M,N,0,2,6/15/09,12/10/09,7,2
MCA3P6B0906,Caigual,M,N,0,2,6/15/09,7/14/09,2,NA
MCA3P6G0906,Caigual,M,N,0,2,6/15/09,7/14/09,2,NA
MCA3P8B0906,Caigual,M,N,0,2,6/15/09,10/10/09,5,8
MCA3P8G0906,Caigual,M,N,0,2,6/15/09,7/14/09,2,NA
MCA3P8K0906,Caigual,M,N,0,2,6/15/09,7/14/09,2,NA
MCA3P8O0906,Caigual,M,N,0,2,6/15/09,7/14/09,2,NA
