"stream","Sex","hindex","lwr","mn","upr","parameter"
"Taylor","M",0.77,1.44370490361804,2.12491752835597,3.03946200568948,"mu"
"Taylor","M",0.78,1.44110668280142,2.12260344927139,3.03579755609182,"mu"
"Taylor","M",0.79,1.4398110075972,2.11928218140253,3.03566096200197,"mu"
"Taylor","M",0.8,1.4376752867429,2.1149584614938,3.02597507708455,"mu"
"Taylor","M",0.81,1.43587137733508,2.10963844854469,3.01419250272693,"mu"
"Taylor","M",0.82,1.43169109080245,2.10332970919003,3.0019864086549,"mu"
"Taylor","M",0.83,1.42757988031354,2.09604119976624,2.9932259909213,"mu"
"Taylor","M",0.84,1.42200903955706,2.08778324512332,2.98103073405115,"mu"
"Taylor","M",0.85,1.41522432345463,2.07856751425248,2.97340653872111,"mu"
"Taylor","M",0.86,1.40973593826797,2.0684069928102,2.96474923912166,"mu"
"Taylor","M",0.87,1.40137860306056,2.05731595262901,2.94572320310365,"mu"
"Taylor","M",0.88,1.39429282554261,2.04530991831546,2.93141041681124,"mu"
"Taylor","M",0.89,1.38566950783926,2.03240563104444,2.91219687151281,"mu"
"Taylor","M",0.9,1.37678494998489,2.01862100966821,2.89614651390727,"mu"
"Taylor","M",0.91,1.3667135056604,2.00397510926649,2.88134265373087,"mu"
"Taylor","M",0.92,1.3537005882858,1.98848807727175,2.86227231292711,"mu"
"Taylor","M",0.93,1.34077803467219,1.97218110731116,2.84030360990005,"mu"
"Taylor","M",0.94,1.32924471952212,1.95507639091297,2.81979493267549,"mu"
"Taylor","M",0.95,1.31695735693433,1.93719706723144,2.79740334134165,"mu"
"Taylor","M",0.96,1.30244300452985,1.91856717094933,2.77474640615763,"mu"
"Taylor","M",0.97,1.28631470370933,1.89921157852218,2.75159880064156,"mu"
"Taylor","M",0.98,1.27200536072378,1.87915595293222,2.72571990062179,"mu"
"Taylor","M",0.99,1.25471705277053,1.85842668712336,2.70264376261352,"mu"
"Taylor","M",1,1.23508479210744,1.83705084629125,2.68054837920657,"mu"
"Taylor","F",0,0.592483612609651,0.868003609769897,1.25859697851421,"mu"
"Taylor","F",0.01,0.616881441929013,0.899449880342552,1.30206491822116,"mu"
"Taylor","F",0.02,0.641587196309074,0.931591548322817,1.34513809394131,"mu"
"Taylor","F",0.03,0.667063465330078,0.964422304128076,1.38791122373388,"mu"
"Taylor","F",0.04,0.691312976161976,0.997934612506359,1.43210664682296,"mu"
"Taylor","F",0.05,0.71686556159092,1.032119683952,1.47715163296446,"mu"
"Taylor","F",0.06,0.743984968337101,1.06696744815897,1.52301754817949,"mu"
"Taylor","F",0.07,0.770124515924937,1.10246652965985,1.57052466235849,"mu"
"Taylor","F",0.08,0.796802903589823,1.13860422579602,1.62002876520533,"mu"
"Taylor","F",0.09,0.823171495013466,1.17536648716176,1.66927536569494,"mu"
"Taylor","F",0.1,0.848309529676971,1.21273790066142,1.7172251767367,"mu"
"Taylor","F",0.11,0.874557036940269,1.25070167531425,1.76989096841844,"mu"
"Taylor","F",0.12,0.901665468904819,1.2892396309371,1.82047041310723,"mu"
"Taylor","F",0.13,0.930549710209342,1.328332189829,1.87464372413144,"mu"
"Taylor","F",0.14,0.957473390441562,1.36795837157593,1.932077877005,"mu"
"Taylor","F",0.15,0.985405616993384,1.40809579108683,1.98753107529119,"mu"
"Taylor","F",0.16,1.01225901376221,1.44872065996452,2.0453383535524,"mu"
"Taylor","F",0.17,1.0410497816549,1.48980779130708,2.10392444377423,"mu"
"Taylor","F",0.18,1.07060715057252,1.53133060802633,2.16501142516855,"mu"
"Taylor","F",0.19,1.09857859099625,1.57326115476078,2.22958293107111,"mu"
"Taylor","F",0.2,1.12635983718963,1.61557011345052,2.28669297412789,"mu"
"Taylor","F",0.21,1.15422325899504,1.6582268226308,2.34811403347596,"mu"
"Taylor","F",0.22,1.1821003619558,1.70119930049056,2.40726409191057,"mu"
"Taylor","F",0.23,1.21185084035265,1.74445427172994,2.46993858599391,"mu"
"Taylor","F",0.24,1.24098999964077,1.78795719823983,2.53119118644078,"mu"
"Taylor","F",0.25,1.27147012555011,1.83167231361325,2.59512635400012,"mu"
"Taylor","F",0.26,1.30112207694953,1.87556266148649,2.65867603890368,"mu"
"Taylor","F",0.27,1.32968908276929,1.91959013769442,2.72212369150418,"mu"
"Taylor","F",0.28,1.35914443583098,1.96371553621133,2.78545719323776,"mu"
"Taylor","F",0.29,1.38974668401909,2.00789859883534,2.85066888730339,"mu"
"Taylor","F",0.3,1.41696406541718,2.05209806856044,2.91423450486247,"mu"
"Taylor","F",0.31,1.44710760777298,2.09627174656689,2.97844944155881,"mu"
"Taylor","F",0.32,1.47548756683473,2.14037655274665,3.04361853911789,"mu"
"Taylor","F",0.33,1.50442696584254,2.18436858966689,3.10677549944837,"mu"
"Taylor","F",0.34,1.53211737995214,2.22820320986089,3.17226311216042,"mu"
"Taylor","F",0.35,1.5608975661291,2.27183508632211,3.23733067155085,"mu"
"Taylor","F",0.36,1.58832751032423,2.31521828606378,3.30271476004867,"mu"
"Taylor","F",0.37,1.61811926437706,2.35830634659337,3.36639319817994,"mu"
"Taylor","F",0.38,1.64525723516664,2.4010523551383,3.42899812545309,"mu"
"Taylor","F",0.39,1.67475287968282,2.44340903044711,3.49114258243421,"mu"
"Taylor","F",0.4,1.69993666444872,2.48532880697804,3.55015638693057,"mu"
"Taylor","F",0.41,1.72488251545446,2.5267639212757,3.6098477785625,"mu"
"Taylor","F",0.42,1.75212125390733,2.56766650032555,3.67385361926134,"mu"
"Taylor","F",0.43,1.77782522614024,2.60798865166543,3.7341918519222,"mu"
"Taylor","F",0.44,1.80209547987874,2.64768255502408,3.7932904534603,"mu"
"Taylor","F",0.45,1.82808481994398,2.68670055524736,3.8472666567314,"mu"
"Taylor","F",0.46,1.85335235398649,2.72499525626485,3.90408377041116,"mu"
"Taylor","F",0.47,1.87669521999988,2.7625196158423,3.95987091316373,"mu"
"Taylor","F",0.48,1.90103456740299,2.79922704085882,4.01163879880288,"mu"
"Taylor","F",0.49,1.9249321221355,2.8350714828422,4.06256057858717,"mu"
"Taylor","F",0.5,1.94697244737774,2.87000753349106,4.1157386548712,"mu"
"Taylor","F",0.51,1.97039421517564,2.90399051990917,4.16448933893127,"mu"
"Taylor","F",0.52,1.99160098990171,2.93697659927431,4.21061864861464,"mu"
"Taylor","F",0.53,2.01231133243348,2.96892285266274,4.25905521150599,"mu"
"Taylor","F",0.54,2.03290265556975,2.99978737774959,4.30324474731288,"mu"
"Taylor","F",0.55,2.05260684227869,3.02952938010619,4.34702589189094,"mu"
"Taylor","F",0.56,2.07239246552726,3.05810926281687,4.38789717683156,"mu"
"Taylor","F",0.57,2.09370618372948,3.08548871414038,4.42730658410259,"mu"
"Taylor","F",0.58,2.11103089293412,3.11163079294501,4.46382116443755,"mu"
"Taylor","F",0.59,2.1275776956868,3.13650001165109,4.49798842605069,"mu"
"Taylor","F",0.6,2.14319167901379,3.1600624164207,4.53115839350667,"mu"
"Taylor","F",0.61,2.16122086335796,3.1822856643412,4.56052222816349,"mu"
"Taylor","F",0.62,2.17738358978873,3.20313909735715,4.58964613104891,"mu"
"Taylor","F",0.63,2.19132961254846,3.22259381271428,4.61754752446064,"mu"
"Taylor","F",0.64,2.20433296992155,3.24062272968913,4.64454668254756,"mu"
"Taylor","F",0.65,2.21576658051908,3.25720065238857,4.6630794067473,"mu"
"Taylor","F",0.66,2.22479957594114,3.27230432841564,4.68399000715914,"mu"
"Taylor","F",0.67,2.23339995986916,3.28591250321045,4.70193827115752,"mu"
"Taylor","F",0.68,2.24363154657901,3.29800596988834,4.71917252284799,"mu"
"Taylor","F",0.69,2.25323671364813,3.30856761441183,4.73328803649258,"mu"
"Taylor","F",0.7,2.25907132881642,3.31758245594764,4.74168576778454,"mu"
"Taylor","F",0.71,2.26419001048441,3.32503768227547,4.75109571691411,"mu"
"Taylor","F",0.72,2.27171695390559,3.33092268013161,4.75982323359625,"mu"
"Taylor","F",0.73,2.27596289400179,3.33522906038652,4.7600247085812,"mu"
"Taylor","F",0.74,2.2821527110428,3.33795067797297,4.762858785189,"mu"
"Taylor","F",0.75,2.28391701308496,3.33908364649845,4.76088704952279,"mu"
"Taylor","F",0.76,2.28430469588086,3.33862634749307,4.76035493194915,"mu"
"Taylor","F",0.77,2.28250571763771,3.33657943426235,4.7551089425742,"mu"
"Taylor","F",0.78,2.27903864604124,3.33294583033193,4.74600400107191,"mu"
"Taylor","F",0.79,2.27617709306837,3.32773072248937,4.73869348584984,"mu"
"Taylor","F",0.8,2.27055154052445,3.32094154844639,4.7314745290657,"mu"
"Taylor","F",0.81,2.26587514602544,3.31258797916234,4.71288291923623,"mu"
"Taylor","F",0.82,2.25935892166462,3.30268189588805,4.69844789731302,"mu"
"Taylor","F",0.83,2.25027968779803,3.291237362006,4.68110135989573,"mu"
"Taylor","F",0.84,2.23944881177949,3.27827058976051,4.66016657872215,"mu"
"Taylor","F",0.85,2.23217778775356,3.26379990198793,4.63629368616384,"mu"
"Taylor","F",0.86,2.2186175095131,3.24784568897339,4.61757060954965,"mu"
"Taylor","F",0.87,2.20680341422598,3.23043036057627,4.59527670331625,"mu"
"Taylor","F",0.88,2.19180365992985,3.21157829378164,4.5751464582889,"mu"
"Taylor","F",0.89,2.17560884446011,3.19131577584966,4.54427920997594,"mu"
"Taylor","F",0.9,2.15988261589266,3.16967094324827,4.51540130846133,"mu"
"Taylor","F",0.91,2.14341335618963,3.14667371656793,4.48998062729757,"mu"
"Taylor","F",0.92,2.12396982882821,3.12235573162882,4.46263469776807,"mu"
"Taylor","F",0.93,2.10477159518624,3.09675026700274,4.43504131036143,"mu"
"Taylor","F",0.94,2.08777486375232,3.06989216818173,4.40430416897024,"mu"
"Taylor","F",0.95,2.06087276761665,3.04181776863528,4.37815430060987,"mu"
"Taylor","F",0.96,2.03930289956063,3.01256480800606,4.3515194057325,"mu"
"Taylor","F",0.97,2.01516205950674,2.9821723477018,4.31510785263915,"mu"
"Taylor","F",0.98,1.98869198931639,2.95068068414699,4.28957050281636,"mu"
"Taylor","F",0.99,1.96005101230349,2.91813125996358,4.25699006127103,"mu"
"Taylor","F",1,1.93541608464912,2.884566573354,4.22457129752388,"mu"
"Taylor","M",0,0.000100285801575166,0.0124711270710371,0.0990086635328498,"z"
"Taylor","M",0.01,0.00012718809236952,0.0138615473234169,0.103524887503742,"z"
"Taylor","M",0.02,0.00016119685237349,0.0153791344170077,0.107911448555629,"z"
"Taylor","M",0.03,0.000199999649683741,0.0170318748021586,0.112338134319803,"z"
"Taylor","M",0.04,0.000255441474343588,0.0188277985364541,0.117068223069444,"z"
"Taylor","M",0.05,0.000325362495217839,0.0207749146195572,0.122129675150759,"z"
"Taylor","M",0.06,0.000401222441026358,0.0228811393764562,0.127020931535273,"z"
"Taylor","M",0.07,0.000502685778764005,0.0251542181930348,0.131685982856999,"z"
"Taylor","M",0.08,0.000620786118655985,0.0276016410814611,0.136608928073479,"z"
"Taylor","M",0.09,0.000767089654781514,0.0302305527382791,0.141756338868797,"z"
"Taylor","M",0.1,0.000954041279513718,0.0330476579510848,0.14682445165867,"z"
"Taylor","M",0.11,0.00116174485361627,0.0360591234050855,0.152733051855977,"z"
"Taylor","M",0.12,0.00140731208069315,0.0392704771325272,0.158099887629398,"z"
"Taylor","M",0.13,0.00170639805744382,0.0426865070289782,0.163477198204679,"z"
"Taylor","M",0.14,0.00205990639397764,0.0463111600232361,0.169187057181369,"z"
"Taylor","M",0.15,0.00250404102737316,0.0501474436243114,0.174145138705602,"z"
"Taylor","M",0.16,0.00305259521985513,0.0541973316717092,0.179438410004963,"z"
"Taylor","M",0.17,0.00365322561918757,0.0584616761766843,0.184556934268598,"z"
"Taylor","M",0.18,0.00434907084653036,0.0629401271557772,0.190364247399411,"z"
"Taylor","M",0.19,0.00507397470300015,0.0676310623185571,0.195915650364114,"z"
"Taylor","M",0.2,0.00590152463670049,0.0725315283756789,0.201477048741513,"z"
"Taylor","M",0.21,0.00689736093561007,0.0776371955798137,0.207575220741014,"z"
"Taylor","M",0.22,0.00809239892940418,0.0829423269018599,0.213931017872828,"z"
"Taylor","M",0.23,0.00944307551272935,0.0884397629817976,0.219374203732033,"z"
"Taylor","M",0.24,0.0110085691607466,0.0941209236839469,0.225342021566082,"z"
"Taylor","M",0.25,0.0129301579409594,0.0999758267389947,0.231213887219303,"z"
"Taylor","M",0.26,0.0148354890033512,0.105993123580942,0.236339988721324,"z"
"Taylor","M",0.27,0.0170626356531104,0.112160152098718,0.241888185252437,"z"
"Taylor","M",0.28,0.0196042830998909,0.118463005633357,0.247852581065101,"z"
"Taylor","M",0.29,0.0223670052101461,0.124886617176551,0.253572571802617,"z"
"Taylor","M",0.3,0.0252190611970499,0.131414857378797,0.259194160127371,"z"
"Taylor","M",0.31,0.0283688064348794,0.138030644668236,0.265240714936103,"z"
"Taylor","M",0.32,0.0319235485685808,0.144716065525422,0.271286346559453,"z"
"Taylor","M",0.33,0.0356884518464887,0.151452502763628,0.277257100772511,"z"
"Taylor","M",0.34,0.039926758857146,0.158220769534743,0.283167470315373,"z"
"Taylor","M",0.35,0.0444293526266574,0.165001246720369,0.289140983708663,"z"
"Taylor","M",0.36,0.0490788388117259,0.171774021376395,0.294839873281208,"z"
"Taylor","M",0.37,0.0537744883265783,0.178519023974052,0.300826369512633,"z"
"Taylor","M",0.38,0.0588385015285788,0.185216162315644,0.306526653106903,"z"
"Taylor","M",0.39,0.0645845360227949,0.191845450191028,0.311597615405139,"z"
"Taylor","M",0.4,0.0700155632678754,0.198387129071854,0.317027232269751,"z"
"Taylor","M",0.41,0.0751546125810975,0.204821781404169,0.321899511462797,"z"
"Taylor","M",0.42,0.0816531701291828,0.211130434344939,0.326790897568949,"z"
"Taylor","M",0.43,0.0871838505653873,0.217294653083612,0.332519161054939,"z"
"Taylor","M",0.44,0.0928012978658821,0.223296623185409,0.337073836043192,"z"
"Taylor","M",0.45,0.0983324690837564,0.229119221679444,0.342004910005295,"z"
"Taylor","M",0.46,0.104134841575389,0.234746076883818,0.34735515126903,"z"
"Taylor","M",0.47,0.109539040364476,0.240161617205138,0.351967381438369,"z"
"Taylor","M",0.48,0.114976978878979,0.245351109366611,0.357287345639453,"z"
"Taylor","M",0.49,0.12087566034958,0.250300686703597,0.3622102684799,"z"
"Taylor","M",0.5,0.126422530016615,0.254997368316753,0.366815175732491,"z"
"Taylor","M",0.51,0.131838085515125,0.259429069990203,0.37070584965743,"z"
"Taylor","M",0.52,0.136780673884121,0.263584607866424,0.374701646114044,"z"
"Taylor","M",0.53,0.140970715299674,0.267453695922565,0.37841105621238,"z"
"Taylor","M",0.54,0.145382562129734,0.271026938317218,0.38137177817822,"z"
"Taylor","M",0.55,0.149423485580866,0.274295817675177,0.384528785677658,"z"
"Taylor","M",0.56,0.153737729043245,0.277252680353831,0.38764971472465,"z"
"Taylor","M",0.57,0.157544019083538,0.279890719691695,0.389817808880238,"z"
"Taylor","M",0.58,0.161039628344001,0.282203958180617,0.391156498797379,"z"
"Taylor","M",0.59,0.163959921982537,0.28418722943134,0.392713320875155,"z"
"Taylor","M",0.6,0.166302725994891,0.285836160720122,0.393653354526553,"z"
"Taylor","M",0.61,0.168146978153618,0.287147156814475,0.394397959224743,"z"
"Taylor","M",0.62,0.170139014603576,0.288117385680725,0.395169457675165,"z"
"Taylor","M",0.63,0.172160028411404,0.288744766576771,0.395506515568065,"z"
"Taylor","M",0.64,0.173300449829845,0.289027960931263,0.395552565198946,"z"
"Taylor","M",0.65,0.173486963566302,0.288966366306606,0.39532570664871,"z"
"Taylor","M",0.66,0.173455810200449,0.288560113638193,0.394798040416395,"z"
"Taylor","M",0.67,0.173682847428703,0.287810067836759,0.39341801583635,"z"
"Taylor","M",0.68,0.173640158744564,0.286717831734953,0.391182276752346,"z"
"Taylor","M",0.69,0.172619743268333,0.285285753253505,0.388942179253342,"z"
"Taylor","M",0.7,0.170543473347843,0.283516935556982,0.38621697189395,"z"
"Taylor","M",0.71,0.168772992765339,0.281415249864494,0.383864340544797,"z"
"Taylor","M",0.72,0.166857205101273,0.278985350477375,0.380493190149711,"z"
"Taylor","M",0.73,0.164625444683157,0.276232691484628,0.377094996629954,"z"
"Taylor","M",0.74,0.16172039639069,0.273163544508808,0.373339425844525,"z"
"Taylor","M",0.75,0.158589131421865,0.269785016761519,0.369267214468101,"z"
"Taylor","M",0.76,0.155099422103269,0.266105068590541,0.364901807543891,"z"
"Taylor","M",0.77,0.15155745214432,0.262132529621936,0.360362155071707,"z"
"Taylor","M",0.78,0.147055754081222,0.257877112532906,0.355828541048001,"z"
"Taylor","M",0.79,0.142389413726105,0.253349423437494,0.350552183907127,"z"
"Taylor","M",0.8,0.136826747225031,0.248560967830578,0.345256412140937,"z"
"Taylor","M",0.81,0.132943911979314,0.243524151019332,0.339624908285729,"z"
"Taylor","M",0.82,0.127719984404016,0.238252271978717,0.334549412574181,"z"
"Taylor","M",0.83,0.122790162123543,0.232759509601751,0.32915243152853,"z"
"Taylor","M",0.84,0.117546618399464,0.22706090037931,0.323695586089233,"z"
"Taylor","M",0.85,0.111981849712175,0.221172306640029,0.317832979449005,"z"
"Taylor","M",0.86,0.106187914416693,0.215110374610327,0.312454153356182,"z"
"Taylor","M",0.87,0.0997483960206892,0.208892481717843,0.306424434002078,"z"
"Taylor","M",0.88,0.0943019939420239,0.202536672758035,0.300195522279898,"z"
"Taylor","M",0.89,0.0885202178612744,0.196061584771038,0.294868828440769,"z"
"Taylor","M",0.9,0.0826327885111193,0.189486360730317,0.288686784873228,"z"
"Taylor","M",0.91,0.0768697455219585,0.182830552420742,0.282532838303232,"z"
"Taylor","M",0.92,0.0709903509926896,0.176114013174356,0.277393991863058,"z"
"Taylor","M",0.93,0.0655110555338601,0.169356781428859,0.27243241451772,"z"
"Taylor","M",0.94,0.0596120791824801,0.162578956366779,0.267223971509154,"z"
"Taylor","M",0.95,0.0541128177182508,0.155800567171965,0.261662552286623,"z"
"Taylor","M",0.96,0.0492515945801833,0.149041437693161,0.256399767420254,"z"
"Taylor","M",0.97,0.0444889870229622,0.142321048521205,0.250689490360304,"z"
"Taylor","M",0.98,0.0401853583135884,0.135658398656417,0.245152129509939,"z"
"Taylor","M",0.99,0.0359691017911872,0.129071869057167,0.239892869836145,"z"
"Taylor","M",1,0.0319989487556854,0.12257909041225,0.234264771813064,"z"
"Taylor","F",0,0.000200892928821077,0.0190842538526813,0.134602904588584,"z"
"Taylor","F",0.01,0.000254054632171309,0.0211961537978854,0.139701441121589,"z"
"Taylor","F",0.02,0.000318773699144766,0.023497612832231,0.145672527326353,"z"
"Taylor","F",0.03,0.000397050245087969,0.0259997787867293,0.151383732181277,"z"
"Taylor","F",0.04,0.000498381774841394,0.028713699245393,0.157148278891159,"z"
"Taylor","F",0.05,0.000625295247013613,0.0316502072030723,0.16292755969875,"z"
"Taylor","F",0.06,0.000777071662566481,0.0348197967975821,0.168512790487065,"z"
"Taylor","F",0.07,0.000971354003241387,0.0382324901415139,0.174496985262666,"z"
"Taylor","F",0.08,0.00120841422651017,0.041897696621776,0.179684608690748,"z"
"Taylor","F",0.09,0.00148687439298042,0.0458240663858258,0.185145508612447,"z"
"Taylor","F",0.1,0.00181921766800637,0.0500193400808182,0.190819838367614,"z"
"Taylor","F",0.11,0.00221722595966888,0.0544901972416043,0.197287989620349,"z"
"Taylor","F",0.12,0.00267635750345556,0.0592421060203585,0.203703355785553,"z"
"Taylor","F",0.13,0.00324101671550158,0.0642791771983932,0.210246290995501,"z"
"Taylor","F",0.14,0.00389039541019336,0.0696040256031894,0.217316377697114,"z"
"Taylor","F",0.15,0.00465473641161224,0.0752176421554502,0.223997936837929,"z"
"Taylor","F",0.16,0.0055465774724496,0.0811192797786102,0.229841456110374,"z"
"Taylor","F",0.17,0.00661552010129648,0.087306356306224,0.235967848792653,"z"
"Taylor","F",0.18,0.00790669578617973,0.093774377314531,0.242289744851078,"z"
"Taylor","F",0.19,0.00940234302440109,0.100516881486637,0.248679577638622,"z"
"Taylor","F",0.2,0.0112586858265366,0.107525410685075,0.254720872687564,"z"
"Taylor","F",0.21,0.013212632546375,0.114789506380719,0.261948405408239,"z"
"Taylor","F",0.22,0.015531812499974,0.122296733473656,0.268385921111398,"z"
"Taylor","F",0.23,0.0181843669183368,0.130032731866363,0.274973088944128,"z"
"Taylor","F",0.24,0.021072696658171,0.137981295436607,0.281972380904447,"z"
"Taylor","F",0.25,0.0245132943149096,0.14612447733502,0.28853254905213,"z"
"Taylor","F",0.26,0.0286984448277075,0.154442719830103,0.295115226892499,"z"
"Taylor","F",0.27,0.0328999132530536,0.162915006270943,0.301120914965797,"z"
"Taylor","F",0.28,0.0379629243587206,0.171519032162716,0.307227197890586,"z"
"Taylor","F",0.29,0.0432638694852583,0.180231391875837,0.313617307309767,"z"
"Taylor","F",0.3,0.0490549637937821,0.189027777155165,0.320171665376143,"z"
"Taylor","F",0.31,0.055687222023554,0.197883183373356,0.326707679703841,"z"
"Taylor","F",0.32,0.0623017080360397,0.206772119388068,0.334108398863884,"z"
"Taylor","F",0.33,0.0700387793624296,0.215668816914979,0.34040327615067,"z"
"Taylor","F",0.34,0.0782907604275126,0.224547435509626,0.347244777278304,"z"
"Taylor","F",0.35,0.0863313970390081,0.233382259547468,0.353832009880078,"z"
"Taylor","F",0.36,0.0948203160335754,0.24214788398488,0.359798394898811,"z"
