"stream","hs","par","lwr","mn","upr"
"Taylor",0,"mu",1.07075854628919,1.79681531877718,2.85498430036844
"Taylor",0,"z",0.549908530889957,0.660145624487546,0.744476158410601
"Taylor",0.01,"mu",1.12210314759393,1.86414986769965,2.94211194767549
"Taylor",0.01,"z",0.553238747666072,0.660668612884894,0.742973189020477
"Taylor",0.02,"mu",1.17293382909474,1.93295148254759,3.03751716308925
"Taylor",0.02,"z",0.55714821659256,0.661114711809003,0.741313082156307
"Taylor",0.03,"mu",1.22201087746884,2.00319777085229,3.12956048522619
"Taylor",0.03,"z",0.560417330416521,0.661484067671321,0.739722908378887
"Taylor",0.04,"mu",1.27821758483338,2.07486311015678,3.22603403197965
"Taylor",0.04,"z",0.563138609957379,0.661776802163601,0.73809463333299
"Taylor",0.05,"mu",1.33466212775649,2.14791858763281,3.31207504900117
"Taylor",0.05,"z",0.564758786142478,0.661993012033723,0.736712516396155
"Taylor",0.06,"mu",1.39146186725477,2.22233194666511,3.41228995284738
"Taylor",0.06,"z",0.566783603783172,0.662132768908897,0.7353046390155
"Taylor",0.07,"mu",1.44676171502488,2.29806754083013,3.51749962019215
"Taylor",0.07,"z",0.568986089287664,0.662196119165583,0.733491147061468
"Taylor",0.08,"mu",1.49912410882766,2.37508629568305,3.6244748363583
"Taylor",0.08,"z",0.570532910178374,0.662183083845633,0.732082495299711
"Taylor",0.09,"mu",1.55523835064177,2.45334567875076,3.73287187518931
"Taylor",0.09,"z",0.572111993657285,0.662093658618337,0.730600464367054
"Taylor",0.1,"mu",1.60524803755563,2.53279967811043,3.83651643989355
"Taylor",0.1,"z",0.573701722436781,0.661927813788232,0.729387817953812
"Taylor",0.11,"mu",1.66148623753366,2.61339878991254,3.94265614604286
"Taylor",0.11,"z",0.57499532485032,0.661685494348694,0.727939021933625
"Taylor",0.12,"mu",1.71878382785552,2.69509001518468,4.05933336335464
"Taylor",0.12,"z",0.575967279657916,0.66136662008153,0.726622273796788
"Taylor",0.13,"mu",1.77750252780439,2.77781686622724,4.17837084736796
"Taylor",0.13,"z",0.576721344544576,0.660971085702942,0.725601837526751
"Taylor",0.14,"mu",1.83787206662546,2.86151938288466,4.29985584535051
"Taylor",0.14,"z",0.577082416815917,0.660498761056407,0.724872073563521
"Taylor",0.15,"mu",1.88527602617859,2.9461341589471,4.42730420420606
"Taylor",0.15,"z",0.577489255178048,0.659949491353209,0.723904123446803
"Taylor",0.16,"mu",1.94049109876227,3.03159437890512,4.55291457502192
"Taylor",0.16,"z",0.577306925686434,0.659323097461515,0.723440510438001
"Taylor",0.17,"mu",2.00041434243547,3.11782986524751,4.68293919538802
"Taylor",0.17,"z",0.576885266385997,0.658619376245051,0.722885532476115
"Taylor",0.18,"mu",2.06173799521694,3.20476713645628,4.80297030551865
"Taylor",0.18,"z",0.576180001289651,0.657838100952615,0.72206885973348
"Taylor",0.19,"mu",2.1199513484155,3.29232947581674,4.9408384085913
"Taylor",0.19,"z",0.575183431723787,0.656979021659832,0.721142102535168
"Taylor",0.2,"mu",2.18036323040001,3.38043701112117,5.06897507368149
"Taylor",0.2,"z",0.574515354447444,0.656041865764689,0.720343870058747
"Taylor",0.21,"mu",2.23487630225467,3.46900680530549,5.21449005618976
"Taylor",0.21,"z",0.573560311654531,0.655026338538591,0.719605510181489
"Taylor",0.22,"mu",2.29345849030769,3.55795295801619,5.3617091173317
"Taylor",0.22,"z",0.572031720285884,0.653932123734782,0.718705242418675
"Taylor",0.23,"mu",2.35318522356633,3.64718671806313,5.50139719301627
"Taylor",0.23,"z",0.570295412368247,0.652758884256178,0.717825207718821
"Taylor",0.24,"mu",2.40999873272207,3.73661660666999,5.64386744509243
"Taylor",0.24,"z",0.569379864523703,0.651506262884758,0.717051229644912
"Taylor",0.25,"mu",2.46680460782123,3.82614855139027,5.77644742719267
"Taylor",0.25,"z",0.567657112262279,0.65017388307482,0.716297460875684
"Taylor",0.26,"mu",2.52095299109844,3.91568603051218,5.91341630935463
"Taylor",0.26,"z",0.56590799098759,0.648761349812533,0.715526038477175
"Taylor",0.27,"mu",2.58132530747263,4.00513022773058,6.05577373624836
"Taylor",0.27,"z",0.563066123005005,0.647268250544342,0.714686328112484
"Taylor",0.28,"mu",2.6363883966531,4.09438019681926,6.19625237231762
"Taylor",0.28,"z",0.560541798701939,0.645694156176884,0.713586734336009
"Taylor",0.29,"mu",2.68740360431592,4.18333303599186,6.34380565952602
"Taylor",0.29,"z",0.558393832681479,0.644038622151192,0.712563054253352
"Taylor",0.3,"mu",2.74730679875233,4.27188407159485,6.49433735730089
"Taylor",0.3,"z",0.556027877825567,0.642301189594038,0.711576470289247
"Taylor",0.31,"mu",2.80079210610431,4.35992705073213,6.6457964378615
"Taylor",0.31,"z",0.553643711556671,0.640481386549345,0.710416020083454
"Taylor",0.32,"mu",2.84680761411601,4.44735434237745,6.78284431736475
"Taylor",0.32,"z",0.551292405756371,0.638578729292677,0.709157147586343
"Taylor",0.33,"mu",2.90213238848388,4.53405714648834,6.91832577401398
"Taylor",0.33,"z",0.548724685489166,0.636592723731833,0.707809969001351
"Taylor",0.34,"mu",2.95586370226322,4.61992571059462,7.05915231265119
"Taylor",0.34,"z",0.545630381718647,0.634522866896608,0.706427963291375
"Taylor",0.35,"mu",3.00869373990285,4.70484955329443,7.19887406259332
"Taylor",0.35,"z",0.542640326859108,0.632368648520814,0.704935677598106
"Taylor",0.36,"mu",3.06080159959708,4.7887176940534,7.34089441548033
"Taylor",0.36,"z",0.539397565854206,0.630129552719585,0.703273231795045
"Taylor",0.37,"mu",3.10852687196708,4.8714188886663,7.48139516094217
"Taylor",0.37,"z",0.536469044565856,0.627805059765005,0.701123496925854
"Taylor",0.38,"mu",3.15698596259896,4.95284186970684,7.6188060412882
"Taylor",0.38,"z",0.533469606348945,0.625394647962991,0.699202366570195
"Taylor",0.39,"mu",3.20446005885867,5.03287559125981,7.74153479827804
"Taylor",0.39,"z",0.53045175604238,0.622897795634278,0.69761100033086
"Taylor",0.4,"mu",3.24699266670978,5.11140947720097,7.86065039623849
"Taylor",0.4,"z",0.527240898988091,0.620313983202226,0.69534245092747
"Taylor",0.41,"mu",3.29070914397359,5.18833367226385,7.99213839229928
"Taylor",0.41,"z",0.524090345436678,0.617642695390005,0.693081632629579
"Taylor",0.42,"mu",3.33790514398135,5.26353929510926,8.11676094946116
"Taylor",0.42,"z",0.520967010731103,0.614883423529506,0.690506522706201
"Taylor",0.43,"mu",3.37730586972647,5.3369186925935,8.24272286840657
"Taylor",0.43,"z",0.517534970895347,0.612035667984089,0.687915119891804
"Taylor",0.44,"mu",3.42129984383123,5.40836569441403,8.35371530723582
"Taylor",0.44,"z",0.514327487962549,0.609098940686999,0.685630077147612
