"rep","hindex"
1,0.762873410209993
2,0.705050312088445
3,0.848917927269865
4,0.931152534616271
5,0.892686684048485
6,0.793117313963967
7,0.908710957349863
8,0.775643212019137
9,0.916709418864674
10,0.938360686395994
11,0.635670052353216
12,0.715358798347848
13,0.874279012197223
14,0.840365871640003
15,0.878337698712879
16,0.740559143052954
17,0.832322740594303
18,0.887226394086233
19,0.962048698455284
20,0.804411384165828
21,0.833600833889753
22,0.895253600266385
23,0.781155458214165
24,0.889763604630682
25,1
26,0.819287577073257
27,0.857479743780339
28,0.869773285138425
29,0.888894100522912
30,0.899837689927696
31,0.681600286728583
32,0.781460220919047
33,0.769391575890126
34,0.781879888819361
35,0.890031261835182
36,0.820693708754228
37,0.835349415905472
38,0.767643125432799
39,0.864499659555864
40,0.716103668086329
41,0.831650052277555
42,0.783233108039165
43,0.815493431012063
44,0.742877898012066
45,0.721219475218658
46,0.855380744498323
47,0.86050065344299
48,0.779184599092219
49,0.869817365386357
50,0.917876577678843
51,0.725785668484123
52,0.940001635880205
53,0.811584134940456
54,0.847541483806254
55,0.709404237375903
56,0.78671002483783
57,0.802222283446685
58,0.801806507877946
59,0.935042749572992
60,0.694923562656075
61,0.794174960642881
62,0.883577673717341
63,0.9094315715662
64,0.720388552749377
65,1
66,0.846780616504677
67,0.696640152231692
68,0.770939224756851
69,0.868601203083426
70,0.718252744785813
71,0.935418676817892
72,0.85466699918266
73,0.742756032395112
74,0.760480840914083
75,0.765352880833939
76,0.771800114533466
77,0.708064827159964
78,0.755919381520959
79,0.833443710570463
80,0.840796853565443
81,0.813938743816272
82,0.741215008768835
83,0.759495413798737
84,0.772009781762287
85,1
86,0.981393405807604
87,0.79556123097743
88,0.764720620791493
89,0.943027093704857
90,0.82739650057833
91,0.948009402963594
92,0.764159447377948
93,0.723337028945977
94,0.883714723119518
95,0.831387938389528
96,0.754848922772654
97,0.873766007418191
98,0.760716074101608
99,0.924142385575628
100,0.897124511517772
101,0.939587080642353
102,0.65709007881797
103,0.834100108693535
104,0.727849502159328
105,0.749145653947416
106,0.792966828402872
107,0.699996351916401
108,0.746046773197841
109,0.865660069778223
110,0.859674251124607
111,0.924154339694796
112,0.805956370591896
113,1
114,0.781749557709381
115,0.802395766280833
116,0.735648925704735
117,0.782367923425701
118,0.857752566113187
119,0.799159142537519
120,0.877293912942656
121,0.705998486848737
122,0.833487785668146
