"Sex","stream","parameter","lw.ci","up.ci","hindex","fit"
"F","Caigual","mu",0.427845343915876,1,0.59,8.44609046377364
"F","Taylor","mu",0.666592900949377,0.931270814713221,0.75,3.33908364649845
"F","Taylor","z",0.563405940249103,0.727848574862349,0.64,0.385103210784183
"M","Caigual","mu",0.301897077362389,0.483453654251606,0.38,3.41157147037157
"M","Taylor","mu",0.666592900949377,0.931270814713221,0.75,2.12651234861428
"M","Taylor","z",0.563405940249103,0.727848574862349,0.64,0.289027960931263
