"hindex","cohort.fctr","fit","se.fit"
0,"new",0.660145624487546,0.0546047113965071
0.01,"new",0.660668612884894,0.0534409431945372
0.02,"new",0.661114711809003,0.0523689838590272
0.03,"new",0.661484067671321,0.051387944190483
0.04,"new",0.661776802163601,0.0504966574002728
0.05,"new",0.661993012033723,0.0496936618265285
0.06,"new",0.662132768908897,0.048977189426644
0.07,"new",0.662196119165583,0.0483451609717977
0.08,"new",0.662183083845633,0.0477951885665976
0.09,"new",0.662093658618337,0.0473245857457293
0.1,"new",0.661927813788232,0.046930384990702
0.11,"new",0.661685494348694,0.046609362101325
0.12,"new",0.66136662008153,0.0463580664875601
0.13,"new",0.660971085702942,0.0461728561524863
0.14,"new",0.660498761056407,0.0460499359413603
0.15,"new",0.659949491353209,0.0459853975475002
0.16,"new",0.659323097461515,0.0459752597917226
0.17,"new",0.658619376245051,0.0460155078149945
0.18,"new",0.657838100952615,0.0461021300216781
0.19,"new",0.656979021659832,0.046231151856436
0.2,"new",0.656041865764689,0.0463986657642617
0.21,"new",0.655026338538591,0.0466008569458687
0.22,"new",0.653932123734782,0.0468340247607119
0.23,"new",0.652758884256178,0.0470945998343212
0.24,"new",0.651506262884758,0.0473791570886676
0.25,"new",0.65017388307482,0.0476844250324661
0.26,"new",0.648761349812533,0.048007291725214
0.27,"new",0.647268250544342,0.04834480786953
0.28,"new",0.645694156176884,0.0486941874975641
0.29,"new",0.644038622151192,0.0490528067058084
0.3,"new",0.642301189594038,0.0494182008651106
0.31,"new",0.640481386549345,0.0497880606948356
0.32,"new",0.638578729292677,0.0501602275466662
0.33,"new",0.636592723731833,0.0505326881981568
0.34,"new",0.634522866896608,0.0509035694115284
0.35,"new",0.632368648520814,0.0512711324711223
0.36,"new",0.630129552719585,0.0516337678745337
0.37,"new",0.627805059765005,0.051989990318252
0.38,"new",0.625394647962991,0.0523384340888145
0.39,"new",0.622897795634278,0.0526778489448821
0.4,"new",0.620313983202226,0.0530070965539543
0.41,"new",0.617642695390005,0.0533251475292224
0.42,"new",0.614883423529506,0.0536310790968307
0.43,"new",0.612035667984089,0.0539240734110702
0.44,"new",0.609098940686999,0.0542034165242637
0.45,"new",0.606072767796952,0.0544684980088587
0.46,"new",0.602956692472002,0.0547188112210572
0.47,"new",0.5997502777624,0.0549539541877898
0.48,"new",0.596453109622648,0.0551736310915871
0.49,"new",0.593064800042428,0.0553776543205804
0.5,"new",0.589584990295499,0.0555659470431439
0.51,"new",0.586013354304973,0.0557385462582851
0.52,"new",0.582349602122713,0.0558956062635272
0.53,"new",0.57859348351975,0.0560374024714719
0.54,"new",0.574744791683853,0.0561643354942702
0.55,"new",0.570803367019407,0.0562769354017038
0.56,"new",0.566769101043831,0.0563758660433731
0.57,"new",0.562641940373714,0.0564619293085607
0.58,"new",0.558421890792754,0.0565360691787354
0.59,"new",0.554109021392447,0.0565993754075563
0.6,"new",0.549703468775231,0.056653086641945
0.61,"new",0.545205441308572,0.0566985927758219
0.62,"new",0.540615223417135,0.0567374363061942
0.63,"new",0.535933179898875,0.0567713124404281
0.64,"new",0.53115976024947,0.0568020676850409
0.65,"new",0.526295502978168,0.056831696631831
0.66,"new",0.521341039896669,0.0568623366485525
0.67,"new",0.516297100361289,0.0568962601808798
0.68,"new",0.511164515447255,0.0569358643825258
0.69,"new",0.50594422203261,0.0569836578136236
0.7,"new",0.500637266767913,0.0570422439863011
0.71,"new",0.495244809906638,0.0571143015928563
0.72,"new",0.489768128970053,0.0572025613275381
0.73,"new",0.484208622219234,0.057309779308066
0.74,"new",0.478567811905985,0.0574387072167496
0.75,"new",0.47284734727359,0.0575920594107337
0.76,"new",0.467049007277724,0.0577724773919384
0.77,"new",0.461174702997367,0.057982492173104
0.78,"new",0.455226479705386,0.0582244852186459
0.79,"new",0.449206518568394,0.0585006487680148
0.8,"new",0.44311713794579,0.0588129464546334
0.81,"new",0.436960794258397,0.0591630752052353
0.82,"new",0.430740082397929,0.0595524294341028
0.83,"new",0.424457735649674,0.059982068528399
0.84,"new",0.418116625102204,0.0604526885522314
0.85,"new",0.411719758519723,0.0609645989801018
0.86,"new",0.405270278654797,0.0615177051110959
0.87,"new",0.398771460981672,0.0621114966234392
0.88,"new",0.392226710833196,0.0627450425176135
0.89,"new",0.385639559927519,0.0634169924793161
0.9,"new",0.379013662274221,0.0641255844853102
0.91,"new",0.372352789453299,0.064868658288346
0.92,"new",0.365660825264503,0.0656436742617851
0.93,"new",0.35894175974889,0.0664477369668506
0.94,"new",0.352199682588943,0.0672776227283061
0.95,"new",0.345438775898448,0.0681298104670787
0.96,"new",0.338663306418112,0.0690005150371584
0.97,"new",0.331877617137978,0.0698857223431937
0.98,"new",0.325086118372656,0.0707812255675046
0.99,"new",0.318293278320439,0.0716826619033641
1,"new",0.311503613142299,0.0725855492683335
