"stream","Sex","hindex","lwr","mn","upr"
"Caigual","F",0.63,6.38835100655984,8.41721529395597,10.7770808422531
"Caigual","F",0.64,6.31334051955381,8.40104369661218,10.8004085687962
"Caigual","F",0.65,6.24466852643169,8.38132543724057,10.8626179797815
"Caigual","F",0.66,6.16730150195086,8.35808564759762,10.9190800104786
"Caigual","F",0.67,6.08360461343521,8.33135389695471,10.9925890839753
"Caigual","F",0.68,5.99720757756292,8.3011641294035,11.0474235892875
"Caigual","F",0.69,5.90116025010332,8.26755459203067,11.127411302085
"Caigual","F",0.7,5.80343648611335,8.23056775417478,11.1794462346033
"Caigual","F",0.71,5.70301216921409,8.19025021800377,11.2397354469052
"Caigual","F",0.72,5.59232458557576,8.14665262067667,11.2975001677402
"Caigual","F",0.73,5.48643165181904,8.09982952837704,11.3694297230709
"Caigual","F",0.74,5.36478091226737,8.04983932252848,11.4521735527102
"Caigual","F",0.75,5.24710296684343,7.9967440785243,11.5234174357557
"Caigual","F",0.76,5.12508301585976,7.9406094373238,11.6152749505463
"Caigual","F",0.77,5.00673564821888,7.88150447028691,11.6901770093929
"Caigual","F",0.78,4.88803010272569,7.81950153763645,11.7383130322594
"Caigual","F",0.79,4.77353275991626,7.75467614095392,11.8140678098162
"Caigual","F",0.8,4.63800130333334,7.68710677012912,11.9050806037944
"Caigual","F",0.81,4.50404446380757,7.61687474519757,11.9901695739256
"Caigual","F",0.82,4.37328576217393,7.54406405351126,12.0692265643458
"Caigual","F",0.83,4.242672721001,7.46876118269811,12.1569497281029
"Caigual","F",0.84,4.11662622980949,7.39105494987453,12.2486903541628
"Caigual","F",0.85,3.99293227301984,7.31103632758151,12.3792346728109
"Caigual","F",0.86,3.87329476145382,7.22879826692064,12.4757041175781
"Caigual","F",0.87,3.74266262869648,7.14443551836925,12.5888263999846
"Caigual","F",0.88,3.61950009073718,7.05804445075595,12.6621342935611
"Caigual","F",0.89,3.49315531719197,6.96972286887808,12.7597420621623
"Caigual","F",0.9,3.36819160796212,6.8795698302409,12.84255993588
"Caigual","F",0.91,3.24227831126079,6.78768546139543,12.9167163374531
"Caigual","F",0.92,3.11990280108485,6.69417077434698,13.0151417998589
"Caigual","F",0.93,2.99697765137325,6.59912748350044,13.0725318039647
"Caigual","F",0.94,2.8854322380042,6.50265782360048,13.1348776163758
"Caigual","F",0.95,2.77065475107175,6.40486436911571,13.2500067614496
"Caigual","F",0.96,2.66332082430458,6.30584985550535,13.3733107945061
"Caigual","F",0.97,2.55586897681303,6.20571700279497,13.4635300914577
"Caigual","F",0.98,2.44806704408884,6.10456834187475,13.5358481406837
"Caigual","F",0.99,2.34595896580413,6.00250604391931,13.6298173642785
"Caigual","F",1,2.24647321472069,5.89963175331269,13.734007349878
